Unnamed: 0,CustInfoID,HomeBranchID,BranchID,AccountID,LoanProposalID,LoanSanctionID,IsDeleted,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate,LoanProductID,IsLiveCustomer,DisbursmentDate,ProcessDate,AccountCode,MandateDate,MandateFlag,MandateValidFrom,MandateValidTo,GLId,GLAcct
1515637,576601,162,162,1515640,1513801.0,1513801.0,false,1666,2016-12-25 20:19:31.657,"","",17.0,3.0,2014-06-20 00:00:00.000,2014-06-14 15:44:14.407,3.030301000151564E16,"","","","","",""
1515638,576602,162,162,1515641,1513848.0,1513848.0,false,1666,2016-12-25 20:19:31.657,"","",17.0,3.0,2014-06-19 00:00:00.000,2014-06-14 16:13:50.000,3.030301000151564E16,"","","","","",""
1515639,576603,257,257,1515642,1514215.0,1514215.0,false,2478,2016-12-25 20:19:31.657,7162.0,2017-11-14 19:09:19.167,17.0,3.0,2014-06-18 00:00:00.000,2014-06-14 16:14:49.237,3.030301000151564E16,"","","","","",""
